LABELS
SEPARATOR TAB

DATA
Sulfitobacter_geojensis_60-77	Sulfitobacter_geojensis_60-77
Sulfitobacter_geojensis_60-79	Sulfitobacter_geojensis_60-79
Sulfitobacter_geojensis_60-80	Sulfitobacter_geojensis_60-80
Sulfitobacter_geojensis_60-84	Sulfitobacter_geojensis_60-84
Sulfitobacter_geojensis_60-85	Sulfitobacter_geojensis_60-85
Sulfitobacter_geojensis_60-89	Sulfitobacter_geojensis_60-89
Sulfitobacter_geojensis_60-93	Sulfitobacter_geojensis_60-93
Sulfitobacter_geojensis_60-95	Sulfitobacter_geojensis_60-95
Sulfitobacter_geojensis_60-96	Sulfitobacter_geojensis_60-96
Sulfitobacter_sp_915	Sulfitobacter_sp_915
GNM016814605	Sulfitobacter geojensis TR60-96
GNM016814635	Sulfitobacter geojensis TR60-95
GNM016814645	Sulfitobacter geojensis TR60-89
GNM016814675	Sulfitobacter geojensis TR60-93
GNM016814695	Sulfitobacter geojensis TR60-85
GNM016814715	Sulfitobacter geojensis TR60-84
GNM016814735	Sulfitobacter geojensis TR60-80
GNM016814755	Sulfitobacter geojensis TR60-76
GNM016814765	Sulfitobacter geojensis TR60-77
GNM016814775	Sulfitobacter geojensis TR60-79
GNM016814815	Sulfitobacter geojensis TR60-75
GNM016814835	Sulfitobacter geojensis TR60-74
GNM016814855	Sulfitobacter geojensis TR60-73
GNM016814865	Sulfitobacter geojensis TR60-71
GNM016814895	Sulfitobacter geojensis TR60-72
GNM016814915	Sulfitobacter geojensis TR60-117
GNM016814935	Sulfitobacter geojensis TR60-119
GNM016814955	Sulfitobacter geojensis TR60-115
GNM016814975	Sulfitobacter geojensis TR60-116
GNM016814995	Sulfitobacter geojensis TR60-106
GNM016815005	Sulfitobacter geojensis TR60-107
GNM016815035	Sulfitobacter geojensis MP20-8
GNM016815055	Sulfitobacter geojensis MP20-88
GNM016815075	Sulfitobacter geojensis MP20-63
GNM016815085	Sulfitobacter geojensis MP20-62
GNM016815115	Sulfitobacter geojensis MP20-33
GNM016815135	Sulfitobacter geojensis MP20-31
GNM016815155	Sulfitobacter geojensis MP20-1
GNM016815175	Sulfitobacter geojensis MP20-19
GNM016815195	Sulfitobacter geojensis MP20-117
GNM016815215	Sulfitobacter geojensis MP20-100
GNM016815225	Sulfitobacter geojensis MP20-116
Sulfitobacter_mediterraneus_11-M	Sulfitobacter_mediterraneus_11-M
Sulfitobacter_mediterraneus_13-M	Sulfitobacter_mediterraneus_13-M
Sulfitobacter_mediterraneus_1-42	Sulfitobacter_mediterraneus_1-42
Sulfitobacter_mediterraneus_1-79	Sulfitobacter_mediterraneus_1-79
Sulfitobacter_mediterraneus_1-9	Sulfitobacter_mediterraneus_1-9
Sulfitobacter_mediterraneus_36-12	Sulfitobacter_mediterraneus_36-12
Sulfitobacter_mediterraneus_36-130	Sulfitobacter_mediterraneus_36-130
Sulfitobacter_mediterraneus_36-16	Sulfitobacter_mediterraneus_36-16
Sulfitobacter_mediterraneus_36-3	Sulfitobacter_mediterraneus_36-3
Sulfitobacter_mediterraneus_36-47	Sulfitobacter_mediterraneus_36-47
Sulfitobacter_mediterraneus_36-49	Sulfitobacter_mediterraneus_36-49
Sulfitobacter_mediterraneus_36-56	Sulfitobacter_mediterraneus_36-56
Sulfitobacter_mediterraneus_40-M	Sulfitobacter_mediterraneus_40-M
Sulfitobacter_mediterraneus_41-M	Sulfitobacter_mediterraneus_41-M
Sulfitobacter_mediterraneus_42-M	Sulfitobacter_mediterraneus_42-M
GNM016801775	Sulfitobacter mediterraneus SC1-11
GNM016814295	Sulfitobacter mediterraneus SC1-43
GNM016814315	Sulfitobacter mediterraneus SC1-41
GNM016814325	Sulfitobacter mediterraneus SC1-40
GNM016814375	Sulfitobacter mediterraneus MC36-56
GNM016814395	Sulfitobacter mediterraneus MC36-47
GNM016814415	Sulfitobacter mediterraneus MC36-3
GNM016814435	Sulfitobacter mediterraneus MC36-49
GNM016814455	Sulfitobacter mediterraneus MC36-16
GNM016814475	Sulfitobacter mediterraneus MC36-130
GNM016814495	Sulfitobacter mediterraneus SC1-12
GNM016814515	Sulfitobacter mediterraneus SC1-9
GNM016814535	Sulfitobacter mediterraneus MC36-12
GNM016814555	Sulfitobacter mediterraneus SC1-13
GNM016814565	Sulfitobacter mediterraneus SC1-79
GNM016814595	Sulfitobacter mediterraneus SC1-42
GNM021043185	Sulfitobacter mediterraneus  strain=SC1-11
Sulfitobacter_sp_KE38	Sulfitobacter_sp_KE38
Sulfitobacter_sp_KE39	Sulfitobacter_sp_KE39
Sulfitobacter_sp_Ks11	Sulfitobacter_sp_Ks11
Sulfitobacter_sp_Ks16	Sulfitobacter_sp_Ks16
Sulfitobacter_sp_Ks35	Sulfitobacter_sp_Ks35
Sulfitobacter_sp_M85	Sulfitobacter_sp_M85
Sulfitobacter_sp_S45	Sulfitobacter_sp_S45
Sulfitobacter_sp_LZD014	Sulfitobacter_sp_LZD014
Sulfitobacter_sp_LZD030	Sulfitobacter_sp_LZD030
Sulfitobacter_sp_LZD032	Sulfitobacter_sp_LZD032
Sulfitobacter_sp_LZD046	Sulfitobacter_sp_LZD046
Sulfitobacter_sp_LZD047	Sulfitobacter_sp_LZD047
Sulfitobacter_sp_LZD048	Sulfitobacter_sp_LZD048
Sulfitobacter_sp_ZYFB029	Sulfitobacter_sp_ZYFB029
Sulfitobacter_sp_ZYFB044	Sulfitobacter_sp_ZYFB044
Sulfitobacter_sp_1A07014	Sulfitobacter_sp_1A07014
Sulfitobacter_sp_1A07119	Sulfitobacter_sp_1A07119
Sulfitobacter_sp_1A07385	Sulfitobacter_sp_1A07385
Sulfitobacter_sp_SW063	Sulfitobacter_sp_SW063
GNM013282155	Sulfitobacter_sp_HGT1
GNM019392245	Sulfitobacter_sp_CW3
GNM006064855	Sulfitobacter_sp_BSw21498
GNM021736025	Sulfitobacter_sp_M22
GNM021735945	Sulfitobacter_sp_M220
GNM021735935	Sulfitobacter_sp_M39
GNM018200035	Sulfitobacter_sp_JK7-1
GNM022788655	Sulfitobacter_indolifex_DSM_14862
